Step,KineticEnergy
10,0.177062
20,0.667805
30,1.43141
40,2.40079
50,3.48285
60,4.58659
70,5.625
80,6.53831
90,7.30165
100,7.92292
110,8.43716
120,8.89649
130,9.35493
140,9.85569
150,10.4243
160,11.0697
170,11.7877
180,12.5566
190,13.3515
200,14.1447
210,14.9093
220,15.6315
230,16.311
240,16.9517
250,17.5573
260,18.1393
270,18.715
280,19.2921
290,19.8717
300,20.4558
310,21.0385
320,21.6096
330,22.1617
340,22.6802
350,23.1538
360,23.5796
370,23.9613
380,24.3056
390,24.6213
400,24.9209
410,25.2112
420,25.4934
430,25.7657
440,26.03
450,26.2877
460,26.5282
470,26.7407
480,26.9192
490,27.0669
500,27.1901
510,27.2961
520,27.3887
530,27.4708
540,27.5513
550,27.6354
560,27.7249
570,27.8173
580,27.9082
590,27.9899
600,28.0591
610,28.1138
620,28.1561
630,28.1868
640,28.2092
650,28.2192
660,28.2164
670,28.1977
680,28.1526
690,28.0786
700,27.974
710,27.8436
720,27.6884
730,27.5246
740,27.3523
750,27.1786
760,27.0137
770,26.8629
780,26.7259
790,26.605
800,26.4965
810,26.3939
820,26.2877
830,26.1736
840,26.0459
850,25.9003
860,25.7388
870,25.5656
880,25.3856
890,25.201
900,25.0156
910,24.8335
920,24.6546
930,24.4756
940,24.2913
950,24.1014
960,23.9063
970,23.7086
980,23.5119
990,23.3154
1000,23.1178
1010,22.9217
1020,22.7258
1030,22.5293
1040,22.3357
1050,22.1512
1060,21.9754
1070,21.803
1080,21.6286
1090,21.4473
1100,21.2547
1110,21.0549
1120,20.8477
1130,20.6367
1140,20.4201
1150,20.205
1160,19.9922
1170,19.7851
1180,19.59
1190,19.4138
1200,19.2536
1210,19.103
1220,18.9669
1230,18.8404
1240,18.7189
1250,18.6
1260,18.4798
1270,18.3573
1280,18.2272
1290,18.0859
1300,17.9292
1310,17.748
1320,17.5386
1330,17.3077
1340,17.0643
1350,16.8105
1360,16.5602
1370,16.3197
1380,16.0952
1390,15.884
1400,15.6942
1410,15.5259
1420,15.3792
1430,15.2448
1440,15.1204
1450,15.0109
1460,14.9079
1470,14.8065
1480,14.7004
1490,14.5918
1500,14.4745
1510,14.3484
1520,14.2162
1530,14.0788
1540,13.9416
1550,13.8063
1560,13.6688
1570,13.5368
1580,13.4049
1590,13.2732
1600,13.1363
1610,12.9985
1620,12.8576
1630,12.7164
1640,12.5748
1650,12.4325
1660,12.294
1670,12.1567
1680,12.0223
1690,11.8897
1700,11.7612
1710,11.6419
1720,11.5311
1730,11.4324
1740,11.3475
1750,11.2743
1760,11.2032
1770,11.1337
1780,11.0649
1790,10.9919
1800,10.9135
1810,10.8319
1820,10.7453
1830,10.6541
1840,10.5584
1850,10.4564
1860,10.3491
1870,10.2373
1880,10.1234
1890,10.0084
1900,9.89286
1910,9.78178
1920,9.67803
1930,9.58205
1940,9.4911
1950,9.40239
1960,9.31439
1970,9.2273
1980,9.14021
1990,9.05162
2000,8.96529
2010,8.8788
2020,8.79399
2030,8.71344
2040,8.63759
2050,8.56815
2060,8.50203
2070,8.44215
2080,8.38583
2090,8.33226
2100,8.28247
2110,8.23234
2120,8.18239
2130,8.12836
2140,8.07027
2150,8.00962
2160,7.9454
2170,7.88023
2180,7.81904
2190,7.76486
2200,7.71898
2210,7.67706
2220,7.6397
2230,7.60156
2240,7.56041
2250,7.51192
2260,7.45868
2270,7.40086
2280,7.33766
2290,7.27349
2300,7.20916
2310,7.14819
2320,7.09273
2330,7.0454
2340,7.00606
2350,6.97141
2360,6.93906
2370,6.90611
2380,6.86909
2390,6.8298
2400,6.7878
2410,6.74211
2420,6.6952
2430,6.64872
2440,6.60562
2450,6.56637
2460,6.531
2470,6.49424
2480,6.45191
2490,6.40344
2500,6.3471
2510,6.2842
2520,6.21862
2530,6.15318
2540,6.09005
2550,6.0304
2560,5.9807
2570,5.94255
2580,5.91611
2590,5.9011
2600,5.89499
2610,5.89449
2620,5.89721
2630,5.89961
2640,5.90146
2650,5.8995
2660,5.88836
2670,5.86862
2680,5.8361
2690,5.78993
2700,5.72927
2710,5.6561
2720,5.57696
2730,5.49641
2740,5.41992
2750,5.35258
2760,5.29817
2770,5.26287
2780,5.24406
2790,5.24063
2800,5.24937
2810,5.2651
2820,5.2819
2830,5.30147
2840,5.31896
2850,5.33311
2860,5.34212
2870,5.34728
2880,5.34935
2890,5.34964
2900,5.34642
2910,5.33826
2920,5.32347
2930,5.30104
2940,5.26868
2950,5.22533
2960,5.17191
2970,5.11123
2980,5.04715
2990,4.9824
3000,4.92048
3010,4.86179
3020,4.80719
3030,4.75623
3040,4.70865
3050,4.6632
3060,4.61969
3070,4.57688
3080,4.53482
3090,4.49541
3100,4.46088
3110,4.43106
3120,4.40513
3130,4.38349
3140,4.36779
3150,4.35846
3160,4.35547
3170,4.35826
3180,4.36651
3190,4.37847
3200,4.39315
3210,4.40703
3220,4.41659
3230,4.4201
3240,4.4164
3250,4.40682
3260,4.3917
3270,4.37269
3280,4.35051
3290,4.32678
3300,4.3024
3310,4.27755
3320,4.255
3330,4.23538
3340,4.21937
3350,4.20585
3360,4.19508
3370,4.18422
3380,4.17573
3390,4.16828
3400,4.16031
3410,4.15043
3420,4.13845
3430,4.12526
3440,4.11169
3450,4.09891
3460,4.08664
3470,4.07533
3480,4.06432
3490,4.05345
3500,4.04148
3510,4.02726
3520,4.01096
3530,3.99232
3540,3.97185
3550,3.95156
3560,3.93205
3570,3.91456
3580,3.89981
3590,3.88661
3600,3.87361
3610,3.86019
3620,3.84636
3630,3.83318
3640,3.82062
3650,3.8095
3660,3.8002
3670,3.79335
3680,3.79039
3690,3.79169
3700,3.79562
3710,3.80159
3720,3.80781
3730,3.81356
3740,3.81735
3750,3.81867
3760,3.81816
3770,3.81674
3780,3.81381
3790,3.81012
3800,3.80639
