x,y
0.130317,-4.29145
0.376655,-4.34319
-0.732787,-3.95371
-0.619392,-3.99809
-0.485087,-4.05064
-0.376043,-4.09331
-0.207632,-4.04998
-0.0580156,-4.21775
-0.247691,-4.14353
0.021544,-4.24889
0.266844,-4.13146
0.353042,-4.22664
0.264284,-4.34387
0.452031,-4.22818
0.590666,-4.29381
0.708167,-4.18021
0.732069,-4.26117
0.885828,-4.22569
0.999849,-4.19938
1.07627,-4.07623
1.10796,-4.17443
1.31307,-4.1271
1.21388,-4.14999
1.46384,-4.0923
1.6065,-4.05938
1.77652,-4.02015
1.91793,-3.97754
-1.93037,-3.59506
-1.79864,-3.62922
-1.60553,-3.59182
-1.61246,-3.67748
-1.51699,-3.70223
-1.42241,-3.72676
-1.13053,-3.60043
-1.29538,-3.75969
-1.17645,-3.79052
-1.07052,-3.82156
-0.962644,-3.86377
-0.766796,-3.73102
-0.84891,-3.90827
-0.502588,-3.93285
-0.305578,-4.00752
-0.402037,-3.96937
-0.26132,-3.91671
-0.149534,-4.18194
-0.0171397,-4.12504
0.142075,-4.2032
0.473307,-4.32089
0.237446,-4.23924
0.670582,-3.97594
0.591739,-4.20684
0.818611,-4.06164
1.1885,-4.04906
0.948,-4.12504
1.39038,-4.0064
1.46905,-3.99312
1.67674,-3.93526
1.56771,-3.96618
1.86964,-3.89585
1.79313,-3.80144
2.20184,-3.80978
2.0354,-3.90813
2.12331,-3.85618
2.29003,-3.75766
2.14297,-3.71984
2.44359,-3.66693
2.62602,-3.55913
-2.81972,-3.31781
-2.7342,-3.38666
-2.50875,-3.44511
-2.33403,-3.49041
-2.28433,-3.38234
-2.21588,-3.52104
-2.15987,-3.31206
-2.19434,-3.42242
-2.10599,-3.54953
-2.02178,-3.57136
-1.80569,-3.54186
-1.48601,-3.61436
-1.32039,-3.41337
-1.37764,-3.63371
-1.34773,-3.53088
-1.15828,-3.70199
-0.932786,-3.7688
-0.817188,-3.82473
-0.578573,-3.79083
-0.703283,-3.86784
-0.594169,-3.89446
-0.176662,-3.6973
-0.116309,-3.85593
-0.153908,-3.95725
0.16935,-4.08054
0.0539084,-4.1425
0.593872,-4.09883
0.493642,-4.11987
0.808171,-3.96065
0.82415,-4.15229
1.29228,-4.02204
1.42069,-3.88608
1.40697,-3.78691
1.77071,-3.91341
1.67043,-3.83023
1.90483,-3.76114
1.95993,-3.8394
2.09087,-3.623
2.05079,-3.78046
2.53069,-3.61546
2.70049,-3.41275
2.61445,-3.48174
2.74653,-3.48792
2.63124,-3.32017
2.9195,-3.38571
3.00001,-3.33813
3.08609,-3.28727
-3.21222,-2.97437
-3.0715,-3.0975
-2.99946,-3.16053
-2.90969,-3.23908
-2.67261,-3.28356
-2.76433,-3.24221
-2.61783,-3.41683
-2.58557,-3.31796
-2.42146,-3.46774
-2.12629,-3.20147
-1.87322,-3.39747
-1.88768,-3.50807
-1.55843,-3.48307
-1.52524,-3.38193
-1.69817,-3.56659
-1.11891,-3.49029
-1.01425,-3.49418
-1.27365,-3.66802
-0.779312,-3.60276
-0.55277,-3.69388
-0.847486,-3.6949
-0.362007,-3.86453
-0.282278,-3.6677
0.107312,-3.94873
-0.103306,-4.08982
-0.045661,-3.99883
0.532914,-4.01392
0.658747,-3.6958
0.951047,-4.04294
1.19152,-3.94329
1.38196,-3.67182
1.54498,-3.86668
2.00187,-3.69475
1.85182,-3.66656
2.1034,-3.47127
2.24828,-3.66939
2.03107,-3.39588
2.41288,-3.56255
2.48443,-3.49829
2.83442,-3.43598
2.94816,-3.24413
2.86904,-3.28563
3.05532,-3.2054
3.22604,-3.20457
3.29285,-3.12989
3.36198,-3.04923
-3.4811,-2.7391
-3.39372,-2.81556
-3.29306,-2.90364
-3.13905,-3.03839
-2.98463,-3.03135
-2.73335,-2.97242
-2.89361,-2.97132
-2.82594,-3.04273
-2.34403,-3.1411
-2.39136,-3.36709
-2.25895,-3.28147
